Common Medical Event,Services You May Need,Member out of pocket,Limitations, Exceptions, & Other Important Information,filename
Common Medical Event,Professional Fees,20% after deductible,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Emergency medical transportation,20% after deductible,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Urgent care,$60 copay/visit,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Facility fee (e.g., hospital room),Facility: 20% of plan allowable, Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_5000_Bronze_SOB (2).pdf
Physician/surgeon fees,Professional Fees: 20% after deductible,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Outpatient services,$25 copay/visit,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Inpatient services,Deductible/Coinsurance,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_5000_Bronze_SOB (2).pdf
Office visits,$25 copay/visit,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Childbirth/delivery professional services,Professional Fees: 20% after deductible,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Childbirth/delivery facility services,Facility: 20% of plan allowable,Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Home health care,20% after deductible,,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable, America’s_Choice_5000_Bronze_SOB (2).pdf
Rehabilitation services,$45 copay/visit,Limited to 20 visits per Calendar Year for physical and occupational therapies each, 20 visits for Speech, 15 visits for Chiropractic. Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
Skilled nursing care,Facility: 20% of plan allowable,Limited to 60 days per Calendar Year. Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable,America's_Choice_5000_Bronze_SOB (2).pdf
