Common Medical Event,Services You May Need,Member out of pocket,Limitations, Exceptions, & Other Important Information,filename
If you need immediate medical attention,Emergency room care,Facility: 0% of plan allowable, deductible does not apply; Professional Fees: 0% after deductible,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Emergency medical transportation,0% after deductible,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Urgent care,$60 copay/visit,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you have a hospital stay,Facility fee (e.g., hospital room),Facility: 0% of plan allowable, deductible does not apply,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Physician/surgeon fees,Professional Fees: 0% after deductible,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you need mental health, behavioral health and substance abuse services,Outpatient services,$25 copay/visit,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Inpatient services,Deductible/Coinsurance,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you are pregnant,Office visits,Professional Fees: 0% after deductible,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Childbirth/delivery professional services,Professional Fees: 0% after deductible,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Childbirth/delivery facility services,Facility: 0% of plan allowable, deductible does not apply,Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
If you need help recovering or have other special health needs,Home health care,0% after deductible,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Rehabilitation services,0% after copayment, per visit,Limited to 20 visits per Calendar Year for physical and occupational therapies each, 20 visits for Speech, 15 visits for Chiropractic. Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
,,Habilitation services,0% after copayment, per visit,Limited to 20 visits per Calendar Year, combined with the above therapies. Subject to plan allowable,America's_Choice_7350_Copper_SOB (1) (1).pdf
