filename,Medical Event,Services You May Need,Member out of pocket,Limitations, Exceptions, & Other Important Information
America's_Choice_7350_Copper_SOB (1) (1).pdf,Skilled nursing care,,Facility: 0% of plan allowable, deductible,Limited to 60 days per Calendar Year. Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable
America's_Choice_7350_Copper_SOB (1) (1).pdf,Skilled nursing care,,Professional Fees: 0% after deductible,
America's_Choice_7350_Copper_SOB (1) (1).pdf,Durable medical equipment,0% after deductible,,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable. (Limited to 12 month rental or purchase price, whichever is less)
America's_Choice_7350_Copper_SOB (1) (1).pdf,Hospice services,0% after deductible,,Failure to obtain precertification will result in a 50% benefit reduction ($2,500 maximum). Subject to plan allowable.
America's_Choice_7350_Copper_SOB (1) (1).pdf,Children’s eye exam,,Not covered,None
America's_Choice_7350_Copper_SOB (1) (1).pdf,Children’s glasses,,Not covered,None
America's_Choice_7350_Copper_SOB (1) (1).pdf,Children’s dental check-up,,Not covered,None
